Name,Geographical_zone,Country,Sector,Industry
TOTAL SA,EUROPE,FRANCE,Energy,"Oil, Gas & Consumable Fuels"
Repsol SA,EUROPE,SPAIN,Energy,"Oil, Gas & Consumable Fuels"
ENAGAS SA,EUROPE,SPAIN,Energy,"Oil, Gas & Consumable Fuels"
ROYAL DUTCH SHELL PLC-A SHS,EUROPE,NETHERLANDS,Energy,"Oil, Gas & Consumable Fuels"
BP PLC,EUROPE,UNITED KINGDOM,Energy,"Oil, Gas & Consumable Fuels"
ROYAL DUTCH SHELL PLC-B SHS,EUROPE,NETHERLANDS,Energy,"Oil, Gas & Consumable Fuels"
ENI SPA,EUROPE,ITALY,Energy,"Oil, Gas & Consumable Fuels"
Snam SpA,EUROPE,ITALY,Energy,"Oil, Gas & Consumable Fuels"
Chevron Corp,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
EXXON MOBIL CORP,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
CONOCOPHILLIPS,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
OCCIDENTAL PETROLEUM CORP,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
PHILLIPS 66,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
ANADARKO PETROLEUM CORP,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
WILLIAMS COS INC,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
MARATHON PETROLEUM CORP,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
VALERO ENERGY CORP,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
KINDER MORGAN INC,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
EOG RESOURCES INC,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
APACHE CORP,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
DEVON ENERGY CORPORATION,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
Hess Corp,NORTH AMERICA,UNITED STATES,Energy,"Oil, Gas & Consumable Fuels"
