Date,ASX200,BEL20,BOVESPA,CAC40,DAX,DOWJONES,EUROSTOXX50,FOOTSIE100,HANGSENG,IBEX35,ITALY40,MSCI CANADA,MSCI RUSSIA,MSCI SOUTHAFRICA,MSCI THAILAND,MSCI WORLD,NASDAQ100,NIKKEI400,S&P500,SMI
2014-05-14,5496.496,3157.51,54412.54,4501.04,9754.39,16613.97,3210.42,6878.49,22582.77,10613.9,21184.6,1850.3,688.02,1226.2,491.13,4458.84,3593.2490000000003,10767.97,1888.53,8611.7
2014-05-15,5510.839,3112.0,53855.54,4444.93,9656.05,16446.81,3163.22,6840.89,22730.86,10365.0,20419.62,1839.49,684.51,1213.7,491.12,4426.6,3565.1740000000004,10727.94,1870.85,8644.74
2014-05-16,5479.044,3098.15,53975.76,4456.28,9629.1,16491.31,3172.72,6855.81,22712.91,10478.7,20648.59,1829.82,689.22,1208.17,496.99,4430.87,3587.199,10564.03,1877.86,8683.62
2014-05-19,5408.975,3105.37,53353.1,4469.76,9659.39,16511.86,3169.9,6844.55,22704.5,10425.5,20318.46,1829.82,706.96,1221.11,498.88,4437.38,3615.617,10491.39,1885.08,8646.02
2014-05-20,5420.352,3105.36,52366.19,4452.35,9639.08,16374.31,3163.93,6802.0,22834.68,10453.8,20379.85,1832.5,709.8,1222.28,490.24,4417.15,3600.308,10522.16,1872.83,8635.61
2014-05-21,5424.566999999999,3118.46,52203.37,4469.03,9697.87,16533.06,3187.08,6821.04,22836.52,10531.4,20597.51,1848.54,720.03,1223.93,491.35,4440.34,3635.614,10492.69,1888.03,8655.9
2014-05-22,5479.932,3128.26,52806.22,4478.21,9720.91,16543.08,3187.63,6820.56,22953.76,10520.6,20372.68,1854.83,719.12,1228.47,491.59,4456.11,3650.863,10666.6,1892.49,8693.98
2014-05-23,5492.786999999999,3129.86,52626.41,4493.15,9768.01,16606.27,3203.28,6815.75,22965.86,10558.9,20745.96,1855.24,726.04,1233.83,487.32,4471.06,3677.3340000000003,10770.38,1900.53,8703.84
2014-05-26,5512.831,3145.61,52932.91,4526.93,9892.82,16606.27,3240.39,6815.75,22963.18,10687.5,21493.87,1855.67,729.71,1229.51,482.39,4485.01,3677.3340000000003,10897.39,1900.53,8712.35
2014-05-27,5511.703,3153.97,52173.98,4529.75,9940.82,16675.5,3244.28,6844.94,22944.3,10714.2,21403.55,1848.77,710.88,1217.11,483.66,4496.97,3723.065,10903.57,1911.91,8710.38
