Date,Name,Value
2014-03-12,CAC40,4306.26
2014-03-13,CAC40,4250.51
2014-03-14,CAC40,4216.37
2014-03-17,CAC40,4271.96
2014-03-18,CAC40,4313.26
2014-03-19,CAC40,4308.06
2014-03-20,CAC40,4327.91
2014-03-21,CAC40,4335.28
2014-03-24,CAC40,4276.34
2014-03-25,CAC40,4344.12
2014-03-26,CAC40,4385.15
2014-03-27,CAC40,4379.06
2014-03-28,CAC40,4411.26
2014-03-31,CAC40,4391.5
2014-04-01,CAC40,4426.72
2014-04-02,CAC40,4430.86
2014-04-03,CAC40,4449.33
2014-04-04,CAC40,4484.55
2014-04-07,CAC40,4436.08
2014-04-08,CAC40,4424.83
2014-04-09,CAC40,4442.68
2014-04-10,CAC40,4413.49
2014-04-11,CAC40,4365.86
2014-04-14,CAC40,4384.56
2014-04-15,CAC40,4345.35
2014-04-16,CAC40,4405.66
2014-04-17,CAC40,4431.81
2014-04-22,CAC40,4484.21
2014-04-23,CAC40,4451.08
2014-04-24,CAC40,4479.54
2014-04-25,CAC40,4443.63
2014-04-28,CAC40,4460.53
2014-04-29,CAC40,4497.68
2014-04-30,CAC40,4487.39
2014-05-02,CAC40,4458.17
2014-05-05,CAC40,4462.69
2014-05-06,CAC40,4428.07
2014-05-07,CAC40,4446.44
2014-05-08,CAC40,4507.24
2014-05-09,CAC40,4477.28
2014-05-12,CAC40,4493.65
2014-05-13,CAC40,4505.02
2014-05-14,CAC40,4501.04
2014-05-15,CAC40,4444.93
2014-05-16,CAC40,4456.28
2014-05-19,CAC40,4469.76
2014-05-20,CAC40,4452.35
2014-05-21,CAC40,4469.03
2014-05-22,CAC40,4478.21
2014-05-23,CAC40,4493.15
2014-05-26,CAC40,4526.93
2014-05-27,CAC40,4529.75
2014-05-28,CAC40,4531.63
2014-05-29,CAC40,4530.51
2014-05-30,CAC40,4519.57
2014-06-02,CAC40,4515.89
2014-06-03,CAC40,4503.69
2014-06-04,CAC40,4501
2014-06-05,CAC40,4548.73
2014-06-06,CAC40,4581.12
2014-06-09,CAC40,4589.12
2014-06-10,CAC40,4595
2014-06-11,CAC40,4555.11
2014-06-12,CAC40,4554.4
2014-06-13,CAC40,4543.28
2014-06-16,CAC40,4510.05
2014-06-17,CAC40,4536.07
2014-06-18,CAC40,4530.37
2014-06-19,CAC40,4563.04
2014-06-20,CAC40,4541.34
2014-06-23,CAC40,4515.57
2014-06-24,CAC40,4518.34
2014-06-25,CAC40,4460.6
2014-06-26,CAC40,4439.63
2014-06-27,CAC40,4436.99
2014-06-30,CAC40,4422.84
2014-07-01,CAC40,4461.12
2014-07-02,CAC40,4444.72
2014-07-03,CAC40,4489.88
2014-07-04,CAC40,4468.98
2014-07-07,CAC40,4405.76
2014-07-08,CAC40,4342.53
2014-07-09,CAC40,4359.84
2014-07-10,CAC40,4301.26
2014-07-11,CAC40,4316.5
2014-07-14,CAC40,4350.04
2014-07-15,CAC40,4305.31
2014-07-16,CAC40,4369.06
2014-07-17,CAC40,4316.12
2014-07-18,CAC40,4335.31
2014-07-21,CAC40,4304.74
2014-07-22,CAC40,4369.52
2014-07-23,CAC40,4376.32
2014-07-24,CAC40,4410.65
2014-07-25,CAC40,4330.55
2014-07-28,CAC40,4344.77
2014-07-29,CAC40,4365.58
2014-07-30,CAC40,4312.3
2014-07-31,CAC40,4246.14
2014-08-01,CAC40,4202.78
2014-08-04,CAC40,4217.22
2014-08-05,CAC40,4232.88
2014-08-06,CAC40,4207.14
2014-08-07,CAC40,4149.83
2014-08-08,CAC40,4147.81
2014-08-11,CAC40,4197.7
2014-08-12,CAC40,4162.16
2014-08-13,CAC40,4194.79
2014-08-14,CAC40,4205.43
2014-08-15,CAC40,4174.36
2014-08-18,CAC40,4230.65
2014-08-19,CAC40,4254.45
2014-08-20,CAC40,4240.79
2014-08-21,CAC40,4292.93
2014-08-22,CAC40,4252.8
2014-08-25,CAC40,4342.11
2014-08-26,CAC40,4393.41
2014-08-27,CAC40,4395.26
2014-08-28,CAC40,4366.04
2014-08-29,CAC40,4381.04
2014-09-01,CAC40,4379.73
2014-09-02,CAC40,4378.33
2014-09-03,CAC40,4421.87
2014-09-04,CAC40,4494.94
2014-09-05,CAC40,4486.49
2014-09-08,CAC40,4474.93
2014-09-09,CAC40,4452.37
2014-09-10,CAC40,4450.79
2014-09-11,CAC40,4440.9
2014-09-12,CAC40,4441.7
2014-09-15,CAC40,4428.63
2014-09-16,CAC40,4409.15
2014-09-17,CAC40,4431.41
2014-09-18,CAC40,4464.7
2014-09-19,CAC40,4461.22
2014-09-22,CAC40,4442.55
2014-09-23,CAC40,4359.35
2014-09-24,CAC40,4413.72
2014-09-25,CAC40,4355.28
2014-09-26,CAC40,4394.75
2014-09-29,CAC40,4358.07
2014-09-30,CAC40,4416.24
2014-10-01,CAC40,4365.27
2014-10-02,CAC40,4242.67
2014-10-03,CAC40,4281.74
2014-10-06,CAC40,4286.52
2014-10-07,CAC40,4209.14
2014-10-08,CAC40,4168.12
2014-10-09,CAC40,4141.45
2014-10-10,CAC40,4073.71
2014-10-13,CAC40,4078.7
2014-10-14,CAC40,4088.25
2014-10-15,CAC40,3939.72
2014-10-16,CAC40,3918.62
2014-10-17,CAC40,4033.18
2014-10-20,CAC40,3991.24
2014-10-21,CAC40,4081.24
2014-10-22,CAC40,4105.09
2014-10-23,CAC40,4157.68
2014-10-24,CAC40,4128.9
2014-10-27,CAC40,4096.74
2014-10-28,CAC40,4112.67
2014-10-29,CAC40,4110.64
2014-10-30,CAC40,4141.24
2014-10-31,CAC40,4233.09
2014-11-03,CAC40,4194.03
2014-11-04,CAC40,4130.19
2014-11-05,CAC40,4208.42
2014-11-06,CAC40,4227.68
2014-11-07,CAC40,4189.89
2014-11-10,CAC40,4222.82
2014-11-11,CAC40,4244.1
2014-11-12,CAC40,4179.88
2014-11-13,CAC40,4187.95
2014-11-14,CAC40,4202.46
2014-11-17,CAC40,4226.1
2014-11-18,CAC40,4262.38
2014-11-19,CAC40,4266.19
2014-11-20,CAC40,4234.21
2014-11-21,CAC40,4347.23
2014-11-24,CAC40,4368.44
2014-11-25,CAC40,4382.31
2014-11-26,CAC40,4373.42
2014-11-27,CAC40,4382.34
2014-11-28,CAC40,4390.18
2014-12-01,CAC40,4377.33
2014-12-02,CAC40,4388.3
2014-12-03,CAC40,4391.86
2014-12-04,CAC40,4323.89
2014-12-05,CAC40,4419.48
2014-12-08,CAC40,4375.48
2014-12-09,CAC40,4263.94
2014-12-10,CAC40,4227.91
2014-12-11,CAC40,4225.86
2014-12-12,CAC40,4108.93
2014-12-15,CAC40,4005.38
2014-12-16,CAC40,4093.2
2014-12-17,CAC40,4111.91
2014-12-18,CAC40,4249.49
2014-12-19,CAC40,4241.65
2014-12-22,CAC40,4254.43
2014-12-23,CAC40,4314.97
2014-12-24,CAC40,4295.85
2014-12-29,CAC40,4317.93
2014-12-30,CAC40,4245.54
2014-12-31,CAC40,4272.75
2015-01-02,CAC40,4252.29
2015-01-05,CAC40,4111.36
2015-01-06,CAC40,4083.5
2015-01-07,CAC40,4112.73
2015-01-08,CAC40,4260.19
2015-01-09,CAC40,4179.07
2015-01-12,CAC40,4228.24
2015-01-13,CAC40,4290.28
2015-01-14,CAC40,4223.24
2015-01-15,CAC40,4323.2
2015-01-16,CAC40,4379.62
2015-01-19,CAC40,4394.93
2015-01-20,CAC40,4446.02
2015-01-21,CAC40,4484.82
2015-01-22,CAC40,4552.8
2015-01-23,CAC40,4640.69
2015-01-26,CAC40,4675.13
2015-01-27,CAC40,4624.21
2015-01-28,CAC40,4610.94
2015-01-29,CAC40,4631.43
2015-01-30,CAC40,4604.25
2015-02-02,CAC40,4627.67
2015-02-03,CAC40,4677.9
2015-02-04,CAC40,4696.3
2015-02-05,CAC40,4703.3
2015-02-06,CAC40,4691.03
2015-02-09,CAC40,4651.08
2015-02-10,CAC40,4695.65
2015-02-11,CAC40,4679.38
2015-02-12,CAC40,4726.2
2015-02-13,CAC40,4759.36
2015-02-16,CAC40,4751.95
2015-02-17,CAC40,4753.99
2015-02-18,CAC40,4799.03
2015-02-19,CAC40,4833.28
2015-02-20,CAC40,4830.9
2015-02-23,CAC40,4862.3
2015-02-24,CAC40,4886.44
2015-02-25,CAC40,4882.22
2015-02-26,CAC40,4910.62
2015-02-27,CAC40,4951.48
2015-03-02,CAC40,4917.32
2015-03-03,CAC40,4869.25
2015-03-04,CAC40,4917.35
2015-03-05,CAC40,4963.51
2015-03-06,CAC40,4964.35
2015-03-09,CAC40,4937.2
2015-03-10,CAC40,4881.95
2015-03-11,CAC40,4997.75
2015-03-12,CAC40,4987.33
2015-03-13,CAC40,5010.46
2015-03-16,CAC40,5061.16
2015-03-17,CAC40,5028.93
2015-03-18,CAC40,5033.42
2015-03-19,CAC40,5037.18
2015-03-20,CAC40,5087.49
2015-03-23,CAC40,5054.52
2015-03-24,CAC40,5088.28
2015-03-25,CAC40,5020.99
2015-03-26,CAC40,5006.35
2015-03-27,CAC40,5034.06
2015-03-30,CAC40,5083.52
2015-03-31,CAC40,5033.64
2015-04-01,CAC40,5062.22
2015-04-02,CAC40,5074.14
2015-04-07,CAC40,5151.19
2015-04-08,CAC40,5136.86
2015-04-09,CAC40,5208.95
2015-04-10,CAC40,5240.46
2015-04-13,CAC40,5254.12
2015-04-14,CAC40,5218.06
2015-04-15,CAC40,5254.35
2015-04-16,CAC40,5224.49
2015-04-17,CAC40,5143.26
2015-04-20,CAC40,5187.59
2015-04-21,CAC40,5192.64
2015-04-22,CAC40,5211.09
2015-04-23,CAC40,5178.91
2015-04-24,CAC40,5201.45
2015-04-27,CAC40,5268.91
2015-04-28,CAC40,5173.38
2015-04-29,CAC40,5039.39
2015-04-30,CAC40,5046.49
2015-05-04,CAC40,5081.97
2015-05-05,CAC40,4974.07
2015-05-06,CAC40,4981.59
2015-05-07,CAC40,4967.22
2015-05-08,CAC40,5090.39
2015-05-11,CAC40,5027.87
2015-05-12,CAC40,4974.65
2015-05-13,CAC40,4961.86
2015-05-14,CAC40,5029.31
2015-05-15,CAC40,4993.82
2015-05-18,CAC40,5012.31
2015-05-19,CAC40,5117.3
2015-05-20,CAC40,5133.3
2015-05-21,CAC40,5146.7
2015-05-22,CAC40,5142.89
2015-05-25,CAC40,5117.17
2015-05-26,CAC40,5083.54
2015-05-27,CAC40,5182.53
2015-05-28,CAC40,5137.83
2015-05-29,CAC40,5007.89
2015-06-01,CAC40,5025.3
2015-06-02,CAC40,5004.46
2015-06-03,CAC40,5034.17
2015-06-04,CAC40,4987.13
2015-06-05,CAC40,4920.74
2015-06-08,CAC40,4857.66
2015-06-09,CAC40,4850.22
2015-06-10,CAC40,4934.91
2015-06-11,CAC40,4971.37
2015-06-12,CAC40,4901.19
2015-06-15,CAC40,4815.36
2015-06-16,CAC40,4839.86
2015-06-17,CAC40,4790.62
2015-06-18,CAC40,4803.48
2015-06-19,CAC40,4815.37
2015-06-22,CAC40,4998.61
2015-06-23,CAC40,5057.68
2015-06-24,CAC40,5045.35
2015-06-25,CAC40,5041.71
2015-06-26,CAC40,5059.17
2015-06-29,CAC40,4869.82
2015-06-30,CAC40,4790.2
2015-07-01,CAC40,4883.19
2015-07-02,CAC40,4835.56
2015-07-03,CAC40,4808.22
2015-07-06,CAC40,4711.54
2015-07-07,CAC40,4604.64
2015-07-08,CAC40,4639.02
2015-07-09,CAC40,4757.22
2015-07-10,CAC40,4903.07
2015-07-13,CAC40,4998.1
2015-07-14,CAC40,5032.47
2015-07-15,CAC40,5047.24
2015-07-16,CAC40,5121.5
2015-07-17,CAC40,5124.39
2015-07-20,CAC40,5142.49
2015-07-21,CAC40,5106.57
2015-07-22,CAC40,5082.57
2015-07-23,CAC40,5086.74
2015-07-24,CAC40,5057.36
2015-07-27,CAC40,4927.6
2015-07-28,CAC40,4977.32
2015-07-29,CAC40,5017.44
2015-07-30,CAC40,5046.42
2015-07-31,CAC40,5082.61
2015-08-03,CAC40,5120.52
2015-08-04,CAC40,5112.14
2015-08-05,CAC40,5196.73
2015-08-06,CAC40,5192.11
2015-08-07,CAC40,5154.75
2015-08-10,CAC40,5195.41
2015-08-11,CAC40,5099.03
2015-08-12,CAC40,4925.43
2015-08-13,CAC40,4986.85
2015-08-14,CAC40,4956.47
2015-08-17,CAC40,4984.83
2015-08-18,CAC40,4971.25
2015-08-19,CAC40,4884.1
2015-08-20,CAC40,4783.55
2015-08-21,CAC40,4630.99
2015-08-24,CAC40,4383.46
2015-08-25,CAC40,4564.86
2015-08-26,CAC40,4501.05
2015-08-27,CAC40,4658.18
2015-08-28,CAC40,4675.13
2015-08-31,CAC40,4652.95
2015-09-01,CAC40,4541.16
2015-09-02,CAC40,4554.92
2015-09-03,CAC40,4653.79
2015-09-04,CAC40,4523.08
2015-09-07,CAC40,4549.64
2015-09-08,CAC40,4598.26
2015-09-09,CAC40,4664.59
2015-09-10,CAC40,4596.53
2015-09-11,CAC40,4548.72
2015-09-14,CAC40,4518.15
2015-09-15,CAC40,4569.37
2015-09-16,CAC40,4645.84
2015-09-17,CAC40,4655.14
2015-09-18,CAC40,4535.85
2015-09-21,CAC40,4585.5
2015-09-22,CAC40,4428.51
2015-09-23,CAC40,4432.83
2015-09-24,CAC40,4347.24
2015-09-25,CAC40,4480.66
2015-09-28,CAC40,4357.05
2015-09-29,CAC40,4343.73
2015-09-30,CAC40,4455.29
2015-10-01,CAC40,4426.54
2015-10-02,CAC40,4458.88
2015-10-05,CAC40,4616.9
2015-10-06,CAC40,4660.64
2015-10-07,CAC40,4667.34
2015-10-08,CAC40,4675.91
2015-10-09,CAC40,4701.39
2015-10-12,CAC40,4688.7
2015-10-13,CAC40,4643.38
2015-10-14,CAC40,4609.03
2015-10-15,CAC40,4675.29
